,Sentences
0,"Thank you, Gerald"
1,"Overall, we are pleased with our progress this quarter with results in line with our expectations"
2,"As in the last quarter, we were particularly pleased with growth in U.S"
3,pharmacy volume and market share
4,"During the quarter, we also completed the $1 billion share buyback program which we discussed on our last earnings call"
5,"I'm also pleased that today, we have raised the lower end of our adjusted earnings per share guidance for fiscal year 2017 by $0.08."
6,So now let's look at the financial highlights for the quarter
7,"As we expected currency again had a negative impact, the U.S dollar being 12.5% stronger versus Sterling than in the comparable quarter last year"
8,"Sales for the quarter were $30.1 billion, up 2.1% versus the comparable quarter"
9,"On a constant currency basis, sales were up 5%"
10,"GAAP operating income was $1.5 billion, a decrease of 1%"
11,"GAAP net earnings attributable to Walgreens Boots Alliance were $1.2 billion, up 5.3% and diluted EPS"
12,"was $1.07, up 5.9%"
13,"Adjusted operating income was $1.9 billion, up 5.5% and in constant currency was up 7.5%"
14,"Adjusted net earnings attributable to Walgreens Boots Alliance were $1.4 billion, up 11.9% and in constant currency up 13.6%"
15,These percentage increases were higher than for adjusted operating income
16,"This was due to a lower tax rate, partially offset by losses on certain legacy investments which adversely impacted both earnings from other equity method investments and other income"
17,"Since the quarter-end, we have disposed of the legacy investment, the gain on which will largely offset these losses"
18,"The adjusted effective tax rate, which we calculate, excluding the adjusted equity income from AmerisourceBergen, was 19.1%"
19,This was lower than in the comparable quarter last year primarily due to relatively high incremental discrete net tax benefits and a lower estimated core annual tax rate of 25.3%
20,"All of this resulted in adjusted diluted net earnings per share of $1.33, up 12.7% and in constant currency up 14.4%"
21,"For completeness, here are the numbers for the first nine months of fiscal 2017."
22,"I will not go through those in great detail, but you will note that GAAP diluted net earnings per share"
23,"was $3.02, up 4.9% versus the same period a year-ago"
24,"Adjusted diluted net earnings per share was $3.79, up 7.7% and up 9.9% on a constant currency basis"
25,So let me now turn to the performance of our divisions in the quarter beginning with Retail Pharmacy USA
26,"Retail Pharmacy USA sales were $22.5 billion, up 6.3% over the year-ago quarter"
27,"This included two months of results from AllianceRx Walgreens Prime, a recently formed central specialty and mail services business"
28,"Comparable store sales for the division increased by 3.7%, adjusted gross profit was $5.7 billion, down 0.5% reflecting a decrease in pharmacy, partially offset by an increase in retail"
29,We'll look at this in more detail in a moment
30,"Adjusted SG&A for the division was 18.7% of sales, an improvement of 1.7 percentage points"
31,This improvement was primarily due to sales mix and higher sales as well as an amendment to certain employee postretirement benefits and our cost transformation program
32,"Adjusted operating margin was 6.5% in line with the comparable quarter last year, resulting in adjusted operating income of $1.5 billion, up 5.9%"
33,"So next, let's look in more detail at Pharmacy"
