,text,Sentiment,Emotion,sales,earnings,op_costs,products_services,organic_expansion,acquisitions,competition,op_risks,debt,not_applicable,NIL,Negative,Neutral,Positive,Confident,Dodgy,NIL,Uncertain
0,"Good morning, everybody",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.993,0.006,0.038,0.001,0.958,0.003
1,Altria delivered outstanding financial performance in the third quarter contributing to a strong first nine months of 2017.,2-Positive,0-Confident,0.093,0.88,0.006,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0.005,0.008,0.041,0.951,0.945,0.001,0.05,0.004
2,We grew adjusted diluted earnings per share of 9.8% in the third quarter and 5.5% for the first nine months,2-Positive,0-Confident,0.014,0.959,0.007,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.005,0.02,0.052,0.928,0.914,0.001,0.082,0.003
3,"As we expected, our earnings growth is accelerating as we move through the second half of the year",2-Positive,0-Confident,0.206,0.783,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.052,0.942,0.949,0.001,0.042,0.008
4,"We continue to return a significant amount of cash to shareholders through both dividends and share repurchase as Billy will describe in more detail, and in August, our board of directors voted to increase our quarterly dividend by 8.2%, and that's the 51st increase in the past 48 years",2-Positive,0-Confident,0.01,0.56,0.111,0.011,0.045,0.03,0.016,0.023,0.018,0.046,0.131,0.019,0.042,0.939,0.863,0.005,0.095,0.037
5,Our core tobacco businesses were the primary drivers of our earnings growth,2-Positive,0-Confident,0.085,0.9,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.005,0.05,0.945,0.937,0.001,0.058,0.003
6,"In the quarter, the smokeable products segment delivered 7.7%, adjusted operating company's income growth, a strong pricing and lower cost more than offset volume declines",2-Positive,0-Confident,0.025,0.025,0.112,0.815,0.004,0.003,0.003,0.004,0.002,0.002,0.005,0.007,0.032,0.961,0.945,0.001,0.049,0.004
7,"For the first nine months, smokeable products segment adjusted operating company's income grew 7.4%",2-Positive,0-Confident,0.012,0.016,0.004,0.959,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.012,0.04,0.948,0.941,0.001,0.052,0.006
8,"Reported cigarette volumes were challenged in the quarter due to the industry's rate of decline, trade inventory movements, retail share declines and one fewer shipping day",0-Negative,2-NIL,0.601,0.233,0.033,0.028,0.009,0.004,0.005,0.006,0.003,0.01,0.068,0.937,0.038,0.025,0.325,0.002,0.663,0.009
9,We're very pleased with the financial performance in the smokeable segment,2-Positive,0-Confident,0.056,0.8,0.028,0.031,0.007,0.003,0.006,0.006,0.004,0.006,0.053,0.01,0.076,0.914,0.926,0.001,0.069,0.003
10,Our strategy continues to be to maximize income while maintaining momentum on Marlboro and Black & Mild over the long-term,2-Positive,0-Confident,0.014,0.361,0.131,0.025,0.063,0.018,0.02,0.027,0.013,0.021,0.306,0.028,0.306,0.666,0.782,0.003,0.202,0.013
11,"As you know, we view momentum has continued strength across various brand metrics including equity, demographics, profitability and retail share",2-Positive,0-Confident,0.016,0.951,0.006,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.009,0.01,0.07,0.92,0.862,0.002,0.113,0.023
