,text,Aspect,Sentiment,Emotion,sales,earnings,op_costs,products_services,organic_expansion,acquisitions,competition,op_risks,debt,not_applicable,NIL,Negative,Neutral,Positive,Confident,Dodgy,NIL,Uncertain
0,"Thank you, Hikmet",9-not_applicable,1-Neutral,2-NIL,0.00020236369,0.00011741391,0.00014008542,0.00036064116,0.00015829044,0.00013214968,0.0002937329,0.00017069194,0.0001154377,0.987586,0.010723298,0.00068345387,0.99539113,0.003925417,0.009930977,0.00045023664,0.9886097,0.0010091793
1,First quarter reported revenues of $1.3 billion were flat or increased 3% on a constant currency basis compared to the prior-year period,0-sales,2-Positive,2-NIL,0.9131719,0.067171924,0.0014108112,0.0061884685,0.00557061,0.0009911129,0.001836606,0.00065317145,0.0004838318,0.0010029832,0.0015185206,0.013326722,0.03281553,0.9538578,0.43219692,0.002460268,0.5384868,0.026856072
2,"The impact of currency translation, net of hedge benefits, reduced first quarter revenue by approximately $30 million compared to the prior year",0-sales,0-Negative,2-NIL,0.60433865,0.09218699,0.005930477,0.23785843,0.024331214,0.0021582188,0.0069379937,0.002439163,0.00096058974,0.011118878,0.011739388,0.9512277,0.024091458,0.02468077,0.12644392,0.0033296428,0.8369788,0.03324766
3,"In the Consumer-to-Consumer segment, revenues were flat in the quarter or increased 2% constant currency, while transactions grew 2%",0-sales,2-Positive,0-Confident,0.95168364,0.03087146,0.0010256058,0.005837758,0.004493714,0.00066583697,0.0016815796,0.00058087736,0.000347219,0.0012297526,0.0015825236,0.01910689,0.016606405,0.96428674,0.91427094,0.000867551,0.08000033,0.00486117
4,C2C constant currency revenue benefited from strong growth in westernunion,0-sales,2-Positive,0-Confident,0.95660514,0.023876848,0.0007709582,0.005969236,0.007198378,0.00085886486,0.0015355089,0.00053403835,0.00038566574,0.0009096722,0.0013555724,0.020253997,0.013979783,0.96576625,0.9699027,0.0009666627,0.0263146,0.0028159232
5,"com, while geographically growth was driven by Latin America, North America and Europe and CIS regions",0-sales,2-Positive,0-Confident,0.93101716,0.044548657,0.0011834821,0.007535498,0.008489361,0.0019050189,0.0017440654,0.0007662206,0.0006923986,0.00073419313,0.0013839152,0.02340549,0.016023666,0.9605709,0.96370035,0.00087081874,0.03271688,0.0027118486
6,"Total C2C cross-border principal increased 1% or 2% on a constant currency basis, while principal per transaction declined 2% or 1% in constant currency terms",3-products_services,0-Negative,2-NIL,0.07994074,0.27718353,0.018556975,0.54565036,0.021294648,0.0052285655,0.0075906035,0.005146603,0.0016858326,0.0131609,0.024561187,0.9654609,0.007107357,0.027431738,0.14221457,0.0018647537,0.8302176,0.025703065
7,The 1% cross-border principal increase was an improvement from the 1.5% decline we reported for the 2016 full year,1-earnings,0-Negative,2-NIL,0.16235374,0.50105906,0.029560413,0.17150266,0.025279598,0.0013467076,0.011443516,0.005488256,0.0014267446,0.02237872,0.06816054,0.9465581,0.02299043,0.030451475,0.15209483,0.002958683,0.8061948,0.03875171
8,"Last month, the World Bank updated its cross-border remittance principal estimates, and its data indicates the overall market declined 1.2% in 2016, following a 2.7% decline in 2015.",0-sales,0-Negative,2-NIL,0.51234317,0.24674971,0.0105185965,0.085624024,0.034024432,0.0013872567,0.009952231,0.004122116,0.0015128319,0.03353114,0.06023442,0.9773607,0.0075622885,0.015076874,0.19842936,0.0028795283,0.7626808,0.03601031
9,"Factors cited by the World Bank for the decline last year included low oil prices, weak economies in the Gulf states and Russia, reduced flows from Europe to Africa and the translation impact of the stronger U.S",1-earnings,0-Negative,0-Confident,0.18406011,0.6199896,0.046454404,0.016293405,0.033012427,0.0018086018,0.013322726,0.010579514,0.0031144705,0.0100268535,0.061337847,0.76495737,0.008125884,0.22691678,0.4862807,0.0068135923,0.4700783,0.036827397
10,dollar,9-not_applicable,1-Neutral,2-NIL,0.00020195243,0.00013558418,0.0001465963,0.00037968418,0.00015157176,0.00014192158,0.00027831478,0.00015231439,0.00011188134,0.99094826,0.007351941,0.00051213166,0.99525416,0.004233714,0.0083680125,0.00044826124,0.98985857,0.0013251209
11,"The World Bank is projecting an improvement in 2017, driven by stronger global economic outlook",10-NIL,2-Positive,0-Confident,0.20455478,0.1797565,0.029865835,0.035778876,0.10350953,0.0011007299,0.020687694,0.015371144,0.0047114957,0.07772011,0.3269433,0.010607615,0.017119449,0.972273,0.93287945,0.0010698305,0.062525764,0.0035249335
12,"Returning to the first quarter results, the spread between C2C transaction growth and revenue growth in the quarter was 2 percentage points, including a negative 2% impact from currency",0-sales,2-Positive,0-Confident,0.9621957,0.019385718,0.00068203505,0.0048824446,0.0073978025,0.0007058154,0.0014890531,0.0005040929,0.0003317217,0.00095274724,0.0014728572,0.01690649,0.014655437,0.9684381,0.9629775,0.0008662327,0.033034045,0.0031222317
13,"Mix had a negative impact of approximately 2% in the quarter, while pricing had a positive impact of approximately 2%, primarily driven by price increases implemented last year, and that remained in place",1-earnings,2-Positive,2-NIL,0.15799183,0.40338406,0.06548527,0.20933308,0.018177368,0.0020357333,0.016158937,0.0095585,0.0020712276,0.027589113,0.08821503,0.04296615,0.19349234,0.7635415,0.17766489,0.004907731,0.7748381,0.04258924
14,We continue to view the current pricing environment as stable,10-NIL,1-Neutral,2-NIL,0.016138075,0.0793064,0.039782442,0.14022702,0.023398906,0.0008565829,0.016252417,0.016475696,0.0023848605,0.2030792,0.46209824,0.0035189595,0.94247943,0.054001614,0.23970155,0.0013498566,0.7458403,0.0131082805
15,"Turning to the regions, we implemented a new regional structure this quarter in our C2C segment due to some leadership and organizational changes",10-NIL,1-Neutral,0-Confident,0.039967667,0.04505248,0.023103468,0.05547425,0.045608167,0.00075053464,0.018661018,0.019729512,0.0036265482,0.20026262,0.54776376,0.06585572,0.6593789,0.27476543,0.5935294,0.002727787,0.38192964,0.021813205
16,"Changes include a few modifications in the country composition of the segments by geographic regions, which we detailed in an 8-K we published last week and are also available in our 10-Q",10-NIL,1-Neutral,2-NIL,0.058532894,0.0953417,0.03544866,0.09049996,0.046358593,0.0011709995,0.021832747,0.01894934,0.0034688355,0.15596785,0.4724284,0.027007343,0.8923191,0.080673546,0.118796945,0.0054117315,0.8347636,0.04102774
17,"In addition, we have changed the methodology of our regional reporting to allocate 100% of revenues to the send region rather than our previous practice of splitting the revenues 50-50 based on the region in which the money was originated and the region in which it was received",0-sales,1-Neutral,2-NIL,0.8943722,0.08305992,0.0018074646,0.007981646,0.0048431004,0.001022972,0.0021505326,0.00076599064,0.00048797423,0.0013997614,0.0021083404,0.08338762,0.46308312,0.45352927,0.112636514,0.003802253,0.8394906,0.044070713
18,"We believe this new methodology provides you with a better understanding of where our business is originated around the world, and how economic trends and other macro events may affect our results",3-products_services,2-Positive,0-Confident,0.12531556,0.18582894,0.020290101,0.26949912,0.044316705,0.0014723599,0.019615212,0.009972493,0.0020673464,0.08531455,0.23630758,0.013885967,0.20660248,0.7795115,0.7888504,0.002619336,0.18207408,0.02645606
19,We have provided the 2016 historical quarterly regional results using this method in the filings I just mentioned,1-earnings,1-Neutral,2-NIL,0.036830924,0.29799405,0.03338595,0.25184834,0.01648736,0.0011274446,0.015579546,0.009310769,0.0016596593,0.1366715,0.19910446,0.019808317,0.8942075,0.08598416,0.20889476,0.0054463074,0.7270922,0.05856674
20,"So, turning to the regions, regional results for the first quarter, I'll be referring to constant currency movements as I discuss individual country contributions to the regions' results",1-earnings,1-Neutral,0-Confident,0.06581194,0.37994924,0.04746196,0.05508858,0.032768168,0.0007513706,0.0192362,0.012462473,0.0030499876,0.093514524,0.28990558,0.02855925,0.7598172,0.2116236,0.47577187,0.005458886,0.46625417,0.052515045
