,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Doug,Doug,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,"
","
",_SP,"
"
9,We,-PRON-,PRP,Xx
10,'re,be,VBP,'xx
11,pleased,pleased,JJ,xxxx
12,to,to,TO,xx
13,announce,announce,VB,xxxx
14,strong,strong,JJ,xxxx
15,second,second,JJ,xxxx
16,quarter,quarter,NN,xxxx
17,2017,2017,CD,dddd
18,GAAP,GAAP,NNP,XXXX
19,earnings,earning,NNS,xxxx
20,per,per,IN,xxx
21,share,share,NN,xxxx
22,of,of,IN,xx
23,$,$,$,$
24,3.16,3.16,CD,d.dd
25,and,and,CC,xxx
26,adjusted,adjust,VBN,xxxx
27,earnings,earning,NNS,xxxx
28,per,per,IN,xxx
29,share,share,NN,xxxx
30,of,of,IN,xx
31,$,$,$,$
32,3.37,3.37,CD,d.dd
33,with,with,IN,xxxx
34,both,both,DT,xxxx
35,membership,membership,NN,xxxx
36,and,and,CC,xxx
37,revenue,revenue,NN,xxxx
38,tracking,tracking,NN,xxxx
39,well,well,RB,xxxx
40,"
","
",_SP,"
"
41,Our,-PRON-,PRP$,Xxx
42,second,second,JJ,xxxx
43,quarter,quarter,NN,xxxx
44,financial,financial,JJ,xxxx
45,results,result,NNS,xxxx
46,show,show,VBP,xxxx
47,that,that,IN,xxxx
48,we,-PRON-,PRP,xx
49,are,be,VBP,xxx
50,continuing,continue,VBG,xxxx
51,to,to,TO,xx
52,carry,carry,VB,xxxx
53,forward,forward,RP,xxxx
54,the,the,DT,xxx
55,strong,strong,JJ,xxxx
56,momentum,momentum,NN,xxxx
57,we,-PRON-,PRP,xx
58,built,build,VBD,xxxx
59,coming,come,VBG,xxxx
60,into,into,IN,xxxx
61,the,the,DT,xxx
62,year,year,NN,xxxx
63,and,and,CC,xxx
64,during,during,IN,xxxx
65,the,the,DT,xxx
66,first,first,JJ,xxxx
67,quarter,quarter,NN,xxxx
68,"
","
",_SP,"
"
69,Our,-PRON-,PRP$,Xxx
70,membership,membership,NN,xxxx
71,growth,growth,NN,xxxx
72,coupled,couple,VBN,xxxx
73,with,with,IN,xxxx
74,the,the,DT,xxx
75,strong,strong,JJ,xxxx
76,quality,quality,NN,xxxx
77,of,of,IN,xx
78,earnings,earning,NNS,xxxx
79,so,so,RB,xx
80,far,far,RB,xxx
81,in,in,IN,xx
82,2017,2017,CD,dddd
83,gives,give,VBZ,xxxx
84,us,-PRON-,PRP,xx
85,confidence,confidence,NN,xxxx
86,that,that,IN,xxxx
87,the,the,DT,xxx
88,value,value,NN,xxxx
89,proposition,proposition,NN,xxxx
90,we,-PRON-,PRP,xx
91,bring,bring,VBP,xxxx
92,to,to,IN,xx
93,the,the,DT,xxx
94,marketplace,marketplace,NN,xxxx
95,is,be,VBZ,xx
96,resonating,resonate,VBG,xxxx
97,well,well,RB,xxxx
98,"
","
",_SP,"
"
99,Within,within,IN,Xxxxx
100,membership,membership,NN,xxxx
101,",",",",",",","
102,both,both,DT,xxxx
103,fully,fully,RB,xxxx
104,insured,insure,VBN,xxxx
105,and,and,CC,xxx
106,self,self,NN,xxxx
107,-,-,HYPH,-
108,funded,fund,VBN,xxxx
109,enrollment,enrollment,NN,xxxx
110,continue,continue,VBP,xxxx
111,to,to,TO,xx
112,track,track,VB,xxxx
113,well,well,RB,xxxx
114,versus,versus,IN,xxxx
115,our,-PRON-,PRP$,xxx
116,expectation,expectation,NN,xxxx
117,",",",",",",","
118,as,as,IN,xx
119,we,-PRON-,PRP,xx
120,ended,end,VBD,xxxx
121,the,the,DT,xxx
122,quarter,quarter,NN,xxxx
123,with,with,IN,xxxx
124,nearly,nearly,RB,xxxx
125,40.4,40.4,CD,dd.d
126,million,million,CD,xxxx
127,members,member,NNS,xxxx
128,"
","
",_SP,"
"
129,In,in,IN,Xx
130,the,the,DT,xxx
131,first,first,JJ,xxxx
132,six,six,CD,xxx
133,months,month,NNS,xxxx
