,Sentences
0,"Thanks, Teri, and good morning, everyone"
1,"As announced earlier today, Garmin reported third quarter consolidated revenue of $743 million, up 3% over the prior year"
2,"Outdoor, aviation, marine and fitness collectively increased 9% year-over-year, and contributed 75% of total revenues"
3,Gross margin improved to 58.4% and operating margin improved to 22.8%
4,GAAP EPS was $0.78 and pro forma
5,EPS was $0.75 in the quarter
6,"Doug will discuss our financial results in greater detail in a few minutes, but first, I'd like to make a few brief remarks on the performance of each business segment"
7,"Beginning with the outdoor segment, revenue grew 31% on a year-over-year basis, driven by strong demand for wearables"
8,"Gross and operating margins expanded to 64% and 37%, respectively, while operating income grew 38% over the prior year"
9,We experienced strong demand for the fÄ“nix 5 watch series and expect this trend to continue throughout the holiday quarter
10,"In addition, we experienced solid growth of inReach devices and subscription services"
11,"We recently announced our entry into two new product categories with the introduction of Descent, our first wearable for the dive market and the Impact bat sensor, our first product for the baseball market"
12,The Descent is a beautifully designed smartwatch with integrated dive computer functions and electronic logs managed through Garmin Connect
13,"The Impact bat sensor delivers instantaneous feedback on the device, while coaches and players can see further details using the Impact mobile app"
14,"Looking forward, we remain focused on the wearable opportunity and expanding into new product categories"
15,"Turning next to aviation, we reported strong revenue growth of 16% driven by growth in both OEM and aftermarket categories"
16,"Gross and operating margins came in at 73% and 27%, respectively, resulting in operating income growth of 12% over the prior year"
17,We recently announced the TXi series of touchscreen flight displays that offer enhanced integration features and target a broad range of aftermarket aircraft from light singles to business jets
18,"We also started shipping the GFC 600, our first aftermarket autopilot solution"
19,These new products are welcome additions to our line-up and further expand addressable market opportunities
20,"Looking forward, we are focused on maximizing ADS-B mandate opportunities and gaining share in the OEM market"
21,"Looking next at marine, revenue increased 10% year-over-year, driven by growth in multiple product lines and led by strong demand for our fishfinders and chartplotter combos"
22,"Gross and operating margins were 58% and 24%, respectively"
23,"We recently completed the acquisition of Navionics, a leading worldwide provider of electronic marine content and mobile applications"
24,Combining content from both Navionics and Garmin will result in best available breadth and depth of coverage for our marine customers
25,"For the third consecutive year, we were recognized by the National Marine Electronics Association as Manufacturer of the Year"
26,"This award, along with eight product of excellence awards, affirms our commitment to designing, manufacturing and selling industry-leading products for the marine market"
27,"Consistent with that commitment, we announced the 2018 line-up of marine electronics, which include updated echoMAP and STRIKER models with Wi-Fi capability, enabling connected boating experiences"
28,"Looking forward, we are focused on product innovations and gaining share in the inland fishing category"
29,"Moving next to fitness, revenue declined 12%, driven by the rapidly maturing market for basic activity trackers and product introduction timing, partially offset by strong growth in our running product lines"
30,"Gross margin improved to 58%, while operating margin decreased year-over-year to 20%"
31,Our product line-up is very strong as we enter the holiday quarter
32,"Recent product launches include the vÃ­voactive 3 with wrist-based payments, the vÃ­vomove HR analogue watch, with wrist heart rate and smart notifications and the ultra-slim vÃ­vosport activity tracker with built-in GPS and smart notifications"
33,"In addition, we launched our vÃ­vofit jr"
34,"2, featuring Disney, Star Wars, and Marvel-themed bands and mobile app adventures"
35,"Looking forward, we're focused on areas of opportunity, particularly in the advanced wearable category"
36,"Looking finally at the auto segment, revenue declined 12% due to the ongoing PND market contraction, partially offset by solid growth in OEM and niche product categories, such as cameras, truck, fleet and RV"
37,Our global market share in the PND category remains very strong
38,"Gross and operating margins declined year-over-year to 44% and 8%, respectively"
39,"We recently launched Garmin Speak with Amazon Alexa, which is the first digital assistant with integrated turn-by-turn navigation"
40,We also started shipping the eLog device in time for the upcoming electronic data logging mandate for truck operators
41,"Looking forward, we are focused on disciplined execution to bring desired innovation to the market and to optimize profitability in this segment"
42,"Well, the three quarters of the year behind us, we are updating our projected revenue for the year to $3.07 billion, an increase of about 2% over 2016."
43,"Projected gross margin remains at approximately 57.5%, but we are raising our projected operating margin to approximately 21.5% for the full year"
44,"Pro forma earnings per share is expected to be approximately $2.90, assuming an updated pro forma effective tax rate of approximately 21.5%"
45,"Looking at guidance by segment, we've increased growth expectations for outdoor, aviation, and auto by 200 basis points to 300 basis points"
46,"Our outlook for marine is unchanged, while the outlook for fitness has been reduced slightly by 200 basis points"
47,That concludes my remarks
48,"Next, Doug will walk us through additional details of our financial results"
49,"So, we don't quantify any of the particular categories within our segments, but I would say that auto has been performing well this year, particularly around new programs such as the Honda programs as well as our existing programs with Daimler and others"
50,"Yeah, so activity trackers declined on a year-over-year basis"
51,"We don't really track sequentially, but year-over-year, as we said in our remarks, they continue to decline"
52,"In terms of quantifying what those represent, we don't comment on specific categories, but as the decline has been fairly steep, I would say that the basic trackers have become much less of an influence in our overall results"
53,"So, as we remarked, OEM and aftermarket categories both grew in the quarter"
54,"I think that we have been fairly hesitant to call a growth inflection on OEM, because I think seeing trends in the market and trying to establish those has been difficult in this market, but it is encouraging"
55,"In terms of the aftermarket size, as we remarked, ADS-B is a significant driver of growth in that area, and there is also pull-through effects of other equipment that we're selling as people upgrade their aircraft"
56,"That will continue into 2018 and 2019, as well as the mandate that operators have to comply with as at the end of 2019."
57,"On an annualized basis, it's approximately $30 million"
58,"In Q4, it's the seasonally lowest quarter for any marine business, so we're not expecting any significant impact on our Q4."
59,"We'll give you more color on that in February when we give our 2018 guidance, but we expect it to be relatively similar to what you're seeing currently"
60,We'll update you if anything changes while we're going through our planning process with that
61,"Well, I think you know there's a lot of investment going in the auto market for sure"
62,Our focus has really been in other categories such as aviation and marine
63,"We do have sensor technology and attitude technologies that could be useful, but our focus is really on our primary markets"
64,"So in terms of overall market, we believe there's somewhere around 100,000 to 120,000 aircraft that will be equipped over time"
65,"We're approximately 20% to 25% through that cycle; and up to this point, we've been commanding in terms of unit share approximately 75% of the market"
66,"Thanks, Kristine"
67,"So Q4, we are up against a stronger comparable from last year"
68,So that's factored into our thinking
69,"Also it's the end of the year, so while aviation tends to be a little more steady business, certainly some of that business will slow down in terms of overall activity as people think about holidays and so forth"
70,"So, we're putting something out there that we believe is achievable"
71,And that's the situation as we see it right now
72,"I think in terms of the gross margin, there's some puts and takes quarter-to-quarter, but we did have some additional warranty expenses for the quarter that impacted our gross margin, but we would expect that to normalize as we go forward"
73,Thank you
74,"Thank you, Joe"
75,Yeah
76,"So, I think so far the feedback has been favorable on the device"
77,"I think people appreciate the device for its size, for the features and what we brought to the market"
78,We're still rolling out additional features in the product as well
79,Our Garmin Pay will launch later this month
80,"So, there's still more work to be done"
81,"In terms of channel sell in, we're still shipping products into the channel, so there's probably some constraints that are still out there, but we're still filling in anticipation of the Q4 selling season"
82,Yeah
83,I think particularly they were strong in certain European countries and we've positioned ourselves in that market to be able to try to pick up as much of that share as possible
84,Thank you
85,Yes
86,"So, in terms of I think maybe your question was around, how much of our sales are going to perhaps existing customers who are upgrading"
87,"We definitely see some of that, especially people that bought into the early generations of fÄ“nix, but we're also expanding the base quite a bit"
88,And I think fÄ“nix is becoming a brand name that's associated with both adventure lifestyles and aspirational lifestyles
89,and so we're seeing some expansion because of that
90,"In terms of our future roadmap and pricing, certainly we have a very active roadmap"
91,"So, I can't comment on the details of that, but our goal is to be able to continue to bring innovation to the market and to be able to keep an established price point as we go forward"
92,"So, outdoor, fÄ“nix again as we've remarked has been doing very well also our inReach devices and subscription-based services that have been doing very well"
93,"So, that's the primary drivers behind the increase in outdoor"
94,"In fitness, as we've been saying the basic activity tracker market has been in steep decline, so that's been an impact on us throughout this year"
95,And also our product introduction timing came later this year versus what it did in 2016.
96,And so those two factors impacted both the outdoor and fitness
97,"I would mention that if you combine those two and look at the combined revenues and the growth on a year-to-date basis, we're up 7% in both outdoor and fitness combined, which reflects, I think a better picture of the overall wearable category and where it's going"
98,"So, naturally we are looking for and hope for a stabilization out there"
99,"I would remind people that this is a consumer market, so we don't know exactly where it goes"
100,"and it can change rapidly, as we've seen in the activity tracker market, but our strategic focus is on a healthy growing market"
101,"And the second part of your question, I'm sorry?"
102,"So, I think for fitness, we're targeting you know"
103,mid-50s and a 20% kind of range in terms of operating margin
104,Thank you
105,We still see PNDs running in the same trajectory as what we've been seeing
106,The improved outlook is really around the OEM outperformance as well as some of the new categories that we're shipping into the market such as Speak the eLog
107,"I can't really comment on the future plan, but as I mentioned with outdoor, we've got a very active product roadmap in fitness as well, and so we'll continue to introduce new products as we go forward"
108,"Thanks, Elliot"
