,Sentences
0,"Thanks, Randy, and good morning everybody"
1,Thanks for joining us
2,"GM delivered a very strong quarter that set several Q1 records, including net revenue, EBIT-adjusted, EBIT-adjusted margin, and EPS diluted-adjusted"
3,"Year-over-year results include net revenue of $41.2 billion, up from $37.3 billion; net income of $2.6 billion, up 34% from $2 billion; EBIT-adjusted of $3.4 billion, up from $2.7 billion; EBIT-adjusted margin of 8.2%, up from 7.1%; EPS diluted-adjusted of $1.70, up from $1.26; and EBIT-adjusted of $3.4 billion in North America and an EBIT-adjusted margin of 11.7%, both of those are Q1 records"
4,Automotive-adjusted free cash flow of negative $600 million is an increase of $800 million
5,"And our ROIC-adjusted was 29.7% on a trailing four-quarter basis, reflecting the positive impact of our disciplined capital allocation framework"
6,And we returned about $600 million in dividends to shareholders in the quarter
7,Our strong core business continues to drive our earnings growth
8,"The strategic investments we have made in brands and in our operations are delivering outstanding new products with higher quality, stronger ATPs and positive third-party recognition, and they were produced with much greater efficiency"
9,"In addition, we continue to generate outstanding EPS performance by focusing on key markets with leading franchises, relentlessly pursuing efficiencies across the enterprise and allocating capital to maximize returns and mitigate risk"
10,This means taking action in difficult markets to either restructure or exit the business
11,"As you know, last month, we announced the sale of our Opel and Vauxhall brands and GM Financial's European operations to PSA Group for about $2.2 billion"
12,"This transaction is a win for the stakeholders of General Motors, Opel/Vauxhall, and PSA Group because it will enable each company to capitalize on its respective strategic priority"
13,"For GM, the sale is another step in our ongoing work to transform the company by strengthening our core business, investing resources in higher return opportunities including the future of personal mobility, and returning significant capital to our shareholders"
14,"We expect the transaction to close later this year and immediately improve our EBIT-adjusted and EBIT-adjusted margins, and adjusted automotive free cash flow as well as de-risk our balance sheet"
15,"We can lower the capital balance requirement under our capital allocation framework by about $2 billion and use it to accelerate share repurchases, subject to market conditions"
16,The sale will also allow GM to participate in the future success of PSA through warrants to purchase PSA shares and to collaborate with PSA in future technology development and deployment
17,"Through these actions, we are establishing GM as a more focused company and aligning our business for strong, sustained performance and growth"
18,"If I turn and look at GMNA and GM China, they really drove our Q1 results"
19,"So, let's take a look"
20,", we have been introducing new and refreshed crossovers across our brands and we posted our best Q1 retail sales since 2008."
21,Retail market share was up 0.3 percentage points to an estimated 16.9%
22,Chevrolet had its best first quarter since 2007 with year-over-year sales up nearly 2%
23,"Buick and GMC retail sales, each were up nearly 4% with their best first quarter in 13 years"
24,"GMC sold its millionth top-of-the-line Denali model, which has contributed significantly to the brand's strong ATPs"
25,"Buick, once again, made Consumer Reports' list of top recommended brands"
26,Crossover sales rose a combined 21% and truck deliveries were up 0.5%
27,"Average transaction prices were over $34,000 and were in line with last year, and exceeded the industry by about $3,000."
28,Now let's turn to China
29,I was just there last week for the Shanghai Auto Show and we actually had our GM board meeting there as well
30,We were there and participated in the launch of new models for the Buick and Baojun brands
31,"In the quarter, GM China maintained strong equity income and margins, despite pricing pressures and a 5% sales decline in the quarter, partially due to an increased purchase tax"
32,Record March retail sales by GM and its joint ventures were up 16% year over year and helped temper the slow start to the year
33,"GM China launched four models in the quarter,"
34,"the Chevrolet Cruze hatchback, the Chevrolet Camaro, the Baojun 510 SUV, and a new variant of the Buick GL8 MPV"
35,"Baojun and Cadillac achieved Q1 records, with deliveries up 25% and 90% year over year respectively"
36,"Half of the 18 new and refreshed models that we introduce in China this year will be in the higher margin SUV, MPV, and luxury segments"
37,"GM continues to expand its electrification portfolio in China with plans to introduce more than 10 new energy vehicles between 2016 and 2020, including hybrid electric vehicles, plug-in hybrid electric vehicles, and battery electric vehicles"
38,GM in China launched the Cadillac CT6 PHEV late last year and last week launched the Buick Velite 5 extended-range EV
39,"In addition, Buick will introduce, at least, one all-new locally produced battery electric vehicle model before the end of the decade"
40,"In South America, we expect significant year-over-year improvement in 2017, despite initial industry weakness"
41,"Chevrolet continued its 16 years of leadership in the region with sales growth of nearly 11%, outpacing the industry and market share of 15.7%"
42,Losses were unchanged year over year and we remain confident that we are well positioned for growth when the market fully recovers
43,"In Brazil, Chevrolet has maintained its market share lead for 18 consecutive months"
44,"In our ongoing work to lead in the future of personal mobility, we are making progress in autonomous vehicles, electrification, and connectivity"
45,"We just announced we will invest $14 million in a new research and development facility in San Francisco, where Cruise Automation will expand development of self-driving vehicle technologies"
46,"Cruise will hire more than 1,100 employees during the next five years and link them with our global engineering talent across the globe"
47,We are running our autonomous vehicle program like a startup to give us the speed that we need to stay focused at the forefront of these technologies and the market applications
48,"As autonomous car technology matures, our talent needs will increase, and Cruise's presence in the Bay Area gives us access to a world-class talent pool"
49,These are men and women who want to be part of a fast-moving technology company that can also manufacture autonomous vehicles in scale
50,This month we announced Super Cruise
51,This is the industry's first true hands-free highway driving technology
52,It will be available later this year on the 2018 Cadillac CT6 sedan
53,"Super Cruise is the first assisted driving technology that will use precision LiDAR map data in addition to real-time cameras, sensors, and GPS"
54,"When engaged, Super Cruise accelerates, brakes, steers, and keeps the car centered in the lane, even in stop-and-go traffic"
55,And a camera-based driver attention system exclusive to Cadillac ensures drivers keep their eyes on the road
56,Super Cruise is a very promising technology that lays the groundwork for a safer future
57,"On electrification, we are maintaining our industry lead in reducing battery cell costs, key to bringing affordable electric vehicles like the Chevrolet Bolt EV to market"
58,"We are ahead of the impressive battery cell projection cost we established two years ago, and our internal focus is to make GM the first maker of profitable, highly desirable, range-leading, and obtainable electric transportation"
59,"Advancing our lead in vehicle connectivity, in March we became the first mass-market automaker to offer an unlimited data plan"
60,"Since then, we have sold more than 100,000 unlimited data plans across our four U.S"
61,"GM has more than 5 million OnStar 4G LTE-connected vehicles on the road today, more than any other automaker"
62,"Now if we look at the calendar year 2017, given the used car pricing, a softer than expected industry in South America, a more challenging pricing environment in the U.S"
63,"and China, and more pressure on commodity costs, there is absolutely no question the global environment is feeling tougher"
64,"Having said that, this management team is focused on taking the actions necessary to deliver the commitments we made in January, including EPS diluted adjusted of $6.00 to $6.50, and EBIT-adjusted margins greater than or equal to 2016."
65,Our pipeline and mix of new products are strong
66,", 10 all-new or recently redesigned crossovers are expected to drive sales and market share higher this year"
67,"At the same time, we continue to adjust passenger car output to meet consumer demand"
68,"We'll realize full-year sales of popular crossovers like the Cadillac XT5, the GMC Acadia, the Chevrolet Bolt EV, the Buick Envision, and a refreshed Buick Encore launched in 2016."
69,"They'll be joined this year by the next-gen Chevrolet Equinox and Traverse and the GMC Terrain, Buick Enclave, and the all-new Regal Tour X crossover wagon"
70,Our intense focus on cost efficiency continued
71,"In January, we increased our savings target to, at least $6.5 billion through 2018, which we expect will more than offset incremental investments in engineering, brand building, and technology"
72,And we are always seeking additional opportunities to streamline the business and identify further savings
73,"Our solid quarter follows three years of record-setting performance and a track record of taking bold and decisive actions to execute our strategic plan, put the customers at the center of everything we do, and deliver shareholder value"
74,"And, with that, I'll turn it over to Chuck"
75,"When you say that business, Rod, are you referring to passenger cars?"
76,I wasn't sure of your question
77,"First, I would say, if you look at the cars, the Cruze, the Malibu, specifically that we just launched last year, they are on very efficient architectures; architectures that we'll use for multiple generations, not only from a light-weighting efficiency from a performance perspective, but also efficiency from a cost perspective"
78,"So, that's one opportunity that we're already putting in place â€"
79,“ or we've already put in place
80,"The brand building that we're doing is very important, also looking at the material cost performance that we continue to drive, and then really looking at configuring the vehicle and making sure we have the right vehicle offering to best satisfy and create the value for the customer"
81,There's also opportunities with OnStar and the performance and what we can drive into the vehicle there
82,"So, there's several things that we're looking at and that we continue to work on as we continue to improve the profitability of cars"
83,"So, we're very focused on doing that and are making good progress"
84,Good morning
