,Sentences
0,"Thanks, Greg, and good afternoon, everyone"
1,"For the quarter ended September 30, 2017, on a consolidated year-over-year basis, net sales increased 11.6% to $1.72 billion, resulting in net income of $91.9 million, or $0.72 per diluted share"
2,Comparable store sales increased 6.6% versus a reported decrease of 0.6% last year
3,"As a reminder, our Q3 2017 comparable store results reflect the calendar shift associated with the 53rd week in 2016."
4,"Adjusting for the week shift, last year's third quarter comparable store sales decrease would have been 1.1%"
5,"As Greg mentioned, comps were positive across all geographic regions and major product categories, and benefited from an extended summer selling season"
6,Sales also benefited later in the quarter from the sale of emergency response products related to hurricanes Harvey and Irma
7,And we estimate this benefited same-store sales by approximately 120 basis points
8,"As a result, sales were strong in all three months of the quarter, with July being the highest comp increase"
9,Comparable store transaction count increased 5%
10,This compares to prior-year's reported 0.5% increase
11,"Comparable store transaction count increased across all regions of the country, and was driven principally by strength in our C"
12,"items, along with strength in seasonal categories and emergency response-related products, as well"
13,Average comp ticket increased 1.5% compared to prior-year's reported 1.1% decrease
14,"This quarter's increase was driven principally by the mix of goods, as well as the strength of big-ticket sales, partially offset by deflation"
15,"Big ticket overall comp was above chain average, principally driven by strong sales of generators, as well as strength in utility vehicles and fuel-handling items"
16,We estimate deflation impacted average ticket by approximately 30 basis points
17,"As a reminder, Petsense store sales are not yet reflected in our reported comparable store sales results, as those stores will be included in the store base beginning with the fourth quarter of 2017."
18,"Now turning to gross margin, which increased 20 basis points to 34.9%"
19,We were pleased with how the team managed margin during the quarter
20,"Direct product margin was positive to prior year, with rate being the primary driver"
21,The rate improvement was driven principally through strong inventory management and strategic sourcing initiatives
22,"Additionally, we were less promotional during the quarter, as the extended summer selling season resulted in strong seasonal sell through"
23,"The mix of merchandise did not have a significant impact on direct product margin, as the strong comp sales performance was broad based across all product categories"
24,"The unfavorable impact of strong generator sales was offset by the favorable impact of strong sales of truck accessories, tools and hardware, which are above-margin categories"
25,"Freight, however, negatively impacted gross margin, principally due to a greater mix of freight-intensive categories, higher average fuel costs, and, to a lesser extent, growth in our online business"
26,"Petsense provided a slight benefit to gross margin, as these stores operate at a higher rate than Tractor Supply stores"
27,"For the quarter, SG&A, including depreciation and amortization, deleveraged by 80 basis points to 26.3% of sales compared to 25.5% of sales in the prior-year's quarter"
28,The deleverage was primarily due to higher incentive compensation expense and additional investments in key strategic areas
29,Incentive compensation expense represented approximately 40 basis points of the deleverage in the quarter
30,The strong performance in this year's third quarter versus last year's third quarter drove the higher incentive compensation expense
31,"By comparison, incentive expense declined approximately 60 basis points as a percentage of sales in last year's third quarter from softer sales and earnings"
32,"The remaining increase in the SG&A rate was driven primarily by investments in payroll and other strategic initiatives to drive customer service and long-term growth, as well as the addition of the Petsense SG&A, which tends to operate at a higher expense ratio than Tractor Supply"
33,Our effective income tax rate for the quarter was essentially flat at 36.4% compared to 36.5% last year
34,Turning to the balance sheet
35,"At the end of the third quarter, we had a cash balance of $70 million and $510 million in outstanding debt compared to a cash balance of $56 million and $295 million in outstanding debt last year"
36,"During the third quarter, we acquired 1.4 million shares for $78.5 million through our stock repurchase program"
37,"Year-to-date, we have acquired a total of 5.2 million shares for $326.6 million"
38,The reported consolidated average inventory per-store decline of 9.2% includes the impact of Petsense stores on the chain average
39,"Exclusive of Petsense, average inventory levels per store decreased 1.9% against last year's third quarter"
40,We are pleased with the productivity of our inventory during the quarter as well as the management of our working capital
41,"Now, with respect to our outlook, based on the trends and results in the third quarter, we're updating our outlook for the full-year fiscal 2017."
42,"We expect full-year sales to range from $7.17 billion to $7.22 billion, comparable store sales increase between 1.7% and 2.2%, and net income to range from $416 million to $421 million, and earnings per diluted share to be $3.25 to $3.29."
43,"Assumed in this guidance is an operating margin decline of 70 basis points to 90 basis points, a tax rate of 36.5%, average diluted shares outstanding of approximately 128 million to 128.4 million and capital expenditures of $230 million to $250 million"
44,"We expect to hit our new store targets of 100 Tractor Supply stores and 25 Petsense stores, and continue to be pleased with new store productivity"
45,"With respect to the fourth quarter, we experienced warmer than normal weather conditions during the first two weeks of the quarter"
46,"However, where the weather has turned cooler, we have begun to see increased demand for cold weather seasonal products"
47,We believe we are well-positioned heading into the fall and winter season with a solid plan to drive winter seasonal merchandise when the colder weather arrives
