,Sentences
0,"Thanks, Greg and good afternoon, everyone"
1,"For the quarter ended July 1, 2017, on a consolidated year-over-year basis, net sales were $2.02 billion, resulting in net income of $160.6 million and EPS of $1.25 per diluted share"
2,Comparable store sales increased 2.2% versus a reported decrease of 0.5% last year
3,"As a reminder, our Q2 2017 comparable store results reflect the calendar shift associated with the 53rd week in 2016."
4,"Adjusting for the week shift, last quarter's second quarter comparable store sales increase would have been a positive 1.0%"
5,"Also, this year's second quarter had one less sales day compared to the second quarter of 2016."
6,"We estimate the one less sales day impacted comparable store sales by approximately 60 basis points, and the comp store sales increase would have been approximately 2.8% on an equivalent quarter basis"
7,Comp store sales performance rebounded nicely from the 2.2% decline in the first quarter
8,Comp stores were positive across all geographic regions and the sales by month was generally consistent throughout the quarter
9,"From a merchandise standpoint, the sales growth was broad-based, with most of our major product categories experiencing positive comp store sales"
10,"Once again, the livestock and pet category led our comp performance and we continued to experience solid demand for many of our basic everyday items"
11,"Comparable store transaction count increased 2.2% or approximately 2.8%, adjusting for the one less sales day"
12,"This compares to prior year's reported 1.5% increase, or 2.7% adjusted for the week shift"
13,Comparable store transaction count increased across all regions of the country and was driven by strength in our C
14,items
15,Both average comp ticket and big ticket sales were flat to prior year
16,"Product resets and new assortment offerings helped sales of certain big ticket products such as chicken coops, generators and grills, but these sales were offset by softness in other seasonal categories"
17,"Outdoor power equipment sales were soft in the back half of the quarter, but cooler temperatures and greater moisture has extended the spring selling season, and we've seen an improvement in the outdoor power equipment category in the early part of third quarter"
18,Deflation impacted average ticket by approximately 30 basis points
19,"As a reminder, Petsense store sales are not reflected in same-store sales, as those stores will be included in the store base beginning with the fourth quarter of 2017."
20,"Now, turning to gross margin, which decreased 10 basis points to 34.9% compared to a 30-basis-point decrease in the prior year"
21,Product margin was essentially flat to prior year with no significant impact from mix or rate
22,We were pleased with the merchandising team's ability to maintain gross margin rate with a balanced pricing approach that incorporates both market share and margin-driving strategies
23,"Freight negatively impacted gross margin, principally due to a greater mix of freight-intensive categories, higher average fuel costs, and to a lesser extent, growth in our online business"
24,"Petsense provided a slight benefit to gross margin, as these stores operate at a higher rate than Tractor Supply stores"
25,"For the quarter, SG&A, including depreciation and amortization, deleveraged by 50 basis points to 22.1% of sales, compared to 21.6% of sales in the prior quarter"
26,"The SG&A growth principally reflects our investment in a few key strategic areas, a greater investment in store payroll hours as part of our focus on enhancing the customer experience, also, our investments in technology to grow our digital capabilities, and then, Petsense which operates at a higher SG&A rate"
27,Our effective income tax rate for the quarter was 37.0% compared to 36.8% last year
28,The increase in the rate principally reflects lower state tax incentive credits compared to the prior year
29,"Now, turning to the balance sheet"
30,"At the end of the second quarter, we had a cash balance of $68 million and $454 million outstanding debt compared to a cash balance of $151 million and $196 million in outstanding debt last year"
31,"During the second quarter, we acquired 2.2 million shares for $134 million through our stock repurchase program"
32,"Year-to-date, we have acquired a total of 3.8 million shares for $248 million"
