,Sentences
0,"And good morning, everyone"
1,"As announced earlier today, Garmin finished 2016 on a strong note"
2,Revenue for the quarter increased 10% over the prior year to $861 million
3,"Outdoor, Fitness, Marine and Aviation collectively increased 25% year-over-year and contributed 74% of total revenues"
4,Gross margin improved year-over-year to 54.7%
5,"Operating margin was essentially flat at 18.6%, while operating income increased 10%"
6,These strong results generated GAAP EPS of $0.72 and pro forma EPS of $0.73 in the quarter
7,"Looking briefly at our full year performance, 2016 was a remarkable year as we delivered four consecutive quarters of revenue and profit growth"
8,Revenue increased 7% over 2015 and exceeded $3 billion for the first time since 2008.
9,"Outdoor, Fitness, Marine and Aviation increased 21% on a combined basis, contributing over $2.1 billion in revenue for the year or 71% of the total and generated 84% of our operating income"
10,"Gross and operating margins improved to 55.6% and 20.7% respectively, while operating income grew 14%"
11,"This resulted in GAAP EPS of $2.70 and pro forma EPS of $2.83, both representing strong increases over the prior year"
12,"Unit deliveries increased 4% to 16.8 million, which is the second highest in our history and broadened our total units shipped to over $173 million since Garmin's inception"
13,"Doug will discuss our financial results in greater detail in a few minutes, but first, I'd like to highlight the 2016 performance and 2017 outlook for each of our five segments"
14,"Starting with Outdoor, revenue increased 33% on strong demand for outdoor wearables, contributions from DeLorme and growth in all other product categories"
15,Segment generated strong growth and operating margins of 62% and 34% respectively while operating income grew 32% over the prior year
16,"Looking back at 2016, our fÄ“nix line of adventure watches continue to show strong momentum while high-end Chronos variations are opening new retail channels at watch stores and specialty retailers"
17,Our Connect IQ application platform has become an important differentiator for our smart wearables
18,"Connect IQ now features over 2,500 apps, widgets and watch faces and has generated more than 24 million downloads since inception"
19,"To further promote the power and utility of Connect IQ, we will host our first ever developer conference in mid-April, offering workshops and tools that developers can use to leverage the Garmin wearable ecosystem"
20,"Looking ahead, we anticipate revenue growth of approximately 10% in 2017."
21,"We anticipate that wearables will continue to be strong, led by the new fÄ“nix 5 series"
22,"fÄ“nix 5 comes in three different sizes and features our new QuickFit band replacement system, allowing users to quickly change the style of their watch"
23,"We are also expanding our handheld device portfolio with inReach satellite communication technology, and we will introduce inReach devices into new geographic markets"
