,Sentences
0,"Thanks, Dhivya, and good morning, everybody"
1,Thanks for joining
2,We delivered a strong second quarter despite a more challenging business environment that included softer industry sales in the U.S
3,and pricing challenges in China
4,"Results from our continuing operations adjusted for the pending sale of our Opel/Vauxhall brands and GM Financial operations in Europe include net revenue of $37 billion, income of $2.4 billion, EBIT-adjusted of $3.7 billion, and EBIT-adjusted margin of 10%, EPS diluted of $1.60 and EPS diluted-adjusted of $1.89, EPS-adjusted of $3.5 billion in North America and EBIT-adjusted margins of 12.2%, adjusted automotive free cash flow of $2.6 billion, and our return on invested capital adjusted is 30.4% on a trailing four-quarter basis"
5,This reflects the positive impact of our disciplined capital allocation framework
6,"Also, important to note, that during the quarter we returned about $2.1 billion to shareholders, $600 million in dividends and $1.5 billion in share repurchases"
7,"We expect to return up to $7 billion to shareholders by the end of 2017 through dividends and share buybacks, subject to market conditions"
8,We made significant moves in the quarter to strengthen our core business performance and capitalize on growth opportunities for the long term
9,"In May, we announced our intent to restructure our international operations, to focus GM India on export manufacturing only, to transition our business in GM South America to ISUZU Motors and to phase out the Chevrolet brand in both markets by the end of the year"
10,"Combined with the pending sale of our Opel/ Vauxhall brands and GM Financial's business in Europe, our recent restructuring actions will allow us to deploy resources and capital to higher return opportunities, such as refreshing our profitable global SUV and U.S"
11,full-size truck portfolios and our global emerging-market vehicle program
12,"We will also continue the growth of GM Financial and our very profitable after-sales, will continue leveraging our connectivity leadership through OnStar, and transforming Cadillac to lead in the global high-margin luxury segment"
13,"We're also investing in transformative technologies around electrification, autonomous technology, connectivity, and"
14,shared mobility services as part of our continuing work to redefine the future of personal mobility
15,We will continue to build on our significant progress by driving improvements across markets and in product segments to deliver the appropriate returns
16,"Now, let's take a look at a few of the regions that really drove our performance in the quarter"
17,First North America
18,"In the United States, our total sales and retail sales and market share are on pace with last year's first half performance and ahead of the industry"
19,We believe our disciplined go-to-market strategy is paying off
20,Our retail sales mix of 6% in Q2 was not only the lowest among full-line automakers in the U.S
21,", it was our lowest for GM in eight years"
22,We are also seeing disciplines on incentives
23,"Our incentives spend, as a percentage of average transaction price, was about 12% in the second quarter, down two full percentage points from the first quarter"
24,We continue to grow in the critical crossover segments that are most popular with consumers
25,"GM's retail crossover share in Q2 was up 24% year-over-year, representing the best quarter in our history for crossover sales"
26,"As we prepare to launch four more crossovers in the second half, this is a strong starting point"
27,"Overall GM's crossover retail market share increased 1.7% year-over-year, or 1.7 points year-over-year"
28,"Cadillac SUV sales were up 16% year-over-year, the best Q2 in history"
29,"Buick sales were up 16% year-over-year, its best Q2 since 2005."
30,"Our average transaction price in Q2 of $35,000 was essentially flat year-over-year exceeding the overall industry by about $3,800 and we continue to make strides on vehicle quality"
31,"Power Initial Quality Study, Fort Wayne assembly received the 2017 Gold Plant Quality Award for the Americas for the highest manufacturing quality"
32,"The plant builds light and heavy-duty Chevrolet Silverado full-size pickups, which led their segments, and the GMC Sierra and Sierra heavy-duty"
33,"As we moved to China, GM China set a Q2 sales record with deliveries of 852,000 vehicles, up about 1% year-over-year"
34,Cadillac and Baojun also set Q2 sales records on strong sales of the Cadillac XT5 and Baojun 510.
35,Cadillac sales were up 62% and Baojun sales were up 66% year-over-year in the quarter
36,Year-to-date Cadillac is up 70%
37,"Deliveries of the Chevrolet Equinox SUV in China surpassed 10,000 units since its launch in late April"
38,"And the Velite 5, Buick's first extended range electric vehicle made its global debut in April"
39,We expect it to go on sale later this year
40,I also want to make a few points about South America
41,"Despite challenging macroeconomic conditions, we posted a year-over-year improvement to essentially breakeven"
42,Our sales and market share gains outpaced the industry and Chevrolet
43,continues its 17-year market leadership
44,"In the quarter, South America delivered 160,000 vehicles, up 18% year-over-year and market share rose 0.7 points"
