,Sentences
0,"Thank you, Jason, and good morning, everyone"
1,I'm really very pleased to be able to speak with you all this morning and to give you some color on where we are
2,"At the beginning of the year, I commented that we sensed an intangible tone in the market that was as good as or better than any time I could recall"
3,"This tone was hard to pinpoint or to define, but it gave us a very tangible sense that 2017 could be a particularly positive year"
4,"Since then, the outlook has only gotten better"
5,Our earnings forecast now exceed even the high end of our original range of expectations
6,"In a normal year, we have a lot of pluses and minuses and they usually balance each other out"
7,"But this year, we are experiencing many more positive forces than negative ones"
8,Part of this appears to be industry-wide
9,"People have bought all the stuff that they need, and they're now looking towards gaining more experiences"
10,"Instead of buying TVs and cars, they seem to be buying memories as never before"
11,Since we're in an industry that specializes in providing great memories that trend plays to our sweet spot
12,"Even better, the trend shows no respect for borders and seems to be occurring all around the world"
13,Our sailings in the U.S
14,", Europe, Alaska, Baltic, Asia, all demonstrate this marvelous phenomenon"
15,"Now, looking to next year, we're conscious of the fact that a particularly strong 2017 also provides particularly difficult comparables for 2018."
16,"This is definitely a very nice problem to have, but it is nevertheless a very real issue"
17,"On top of this marvelous industry-wide growth in demand, we're also seeing powerful drivers coming from the unique positioning of our special brands"
18,All of our brands are performing at a level we've simply never seen
19,"Our guest satisfaction ratings are at the highest point in our history, and they keep rising"
20,"Our onboard revenue figures are doing well, both in terms of sales and satisfaction"
21,"Some of this is driven by our wonderful new ships, such as Harmony of the Seas, Mein Schiff 6, Symphony of the Seas or Celebrity Edge, but much of it also comes from greater engagement by our officers and our crew"
22,"This is very much of a people business, and it is all about the people"
23,"In addition, there are a few specific programs at Royal Caribbean that have proven very attractive in driving change"
24,"The first, of course, is our DOUBLE-DOUBLE"
25,This program has been extremely successful in galvanizing our entire workforce to a common set of goals
26,"You all heard me say before that if we give our people focus and a clear vision, nothing stops them from achieving extraordinary results"
27,The success of the DOUBLE-DOUBLE provides very tangible proof of that fact
28,"For that, I extend to all of them my sincerest thanks"
29,"Remember, however, that the DOUBLE-DOUBLE was never just about 2017."
30,It's always been about positioning Royal Caribbean to the future
31,"I believe that's the real success of the DOUBLE-DOUBLE, not just the 2017 results"
