,Sentences
0,"Good morning, everyone"
1,I'll be making remarks based on the web charts that we included with our earnings release today
2,Let's begin with chart 3 and an overview of our results
3,We're pleased with our performance in the quarter
4,"Sales of $12.2 billion and segment operating profit of $1.2 billion were slightly lower than our expectations, but we expect this timing-related shortfall will be more than made up for during the fourth quarter, as we will discuss later"
5,"Our earnings per share of $3.24 were in line with our expectations, even with the lower sales and profit levels, and were aided by the favorable resolution of several contractual matters that improved our unallocated expense amounts"
6,"Cash from operations was very strong at $1.8 billion for the quarter, and we continued to return a significant amount of that cash to our stockholders with $1 billion returned in the quarter"
7,"In addition, and as expected, we had a very strong quarter of capturing new business, achieving a record backlog level of $104 billion"
8,"We are increasing our outlook for sales, operating profit, earnings per share and cash from operations, reflecting our growing confidence as we progress through this year"
9,So I'd characterize the quarter as one with solid performance and improving prospects for the rest of the year and beyond
10,"On chart 4, we compare our sales and segment operating profit in the third quarter of this year with last year's results"
11,"Sales grew 5% compared with last year to $12.2 billion, with most of that growth coming in the Aeronautics business area which grew 14% in the quarter, driven by F-35 volume"
12,Segment operating profit was slightly lower this year after adjusting for the large gain we recognized last year when we obtained a controlling interest in the Atomic Weapons Establishment joint venture in the UK
13,"And as I said on the prior chart, we're increasing our full year outlook for both sales and segment operating profit"
14,"Turning to chart 5, we'll discuss our earnings per share in the quarter"
15,EPS from continuing operations of $3.24 was lower than last year's amount
16,"But after adjusting for the AWE gain that we recognized last year, our EPS was relatively flat"
17,"On chart 6, we'll compare our cash from operations this quarter versus our results from 2016."
18,"We generated nearly $1.8 billion of cash in the quarter, almost one-third more than we did in the third quarter of last year"
19,"On a year-to-date basis, we have generated almost $5 billion in cash from operations, well on our way to achieving our increased outlook for the year"
20,Chart 7 shows the cash returned to stockholders through the third quarter
21,"After deducting year-to-date capital expenditures from cash from operations, our free cash flow is almost $4.3 billion through the first three quarters"
22,"And we returned about $3.1 billion in cash to stockholders, or 72% of free cash flow, fairly evenly divided between dividends and share repurchases"
23,Chart 8 shows the increase in backlog this year to a record level of $104 billion
24,You may recall from last quarter's call that we had received both an F-35 LRIP 11 UCA as well as the Multi-Year IX buy of Black Hawk helicopters shortly after the second quarter ended
25,"I'm very pleased that with these awards as well as others in the quarter, our backlog increased above the $100 billion mark for the first time"
26,"And importantly, our $104 billion backlog level includes only a minimal amount of orders for the potential $8 billion SOF GLSS contract we received in the quarter as we will recognize orders under this IDIQ vehicle only when incrementally added to the contract"
27,Chart 9 provides our updated outlook for the year
28,We're increasing our outlook for every metric other than the FAS/CAS adjustment
29,"We're increasing our sales outlook by $200 million, and our segment operating profit outlook by $20 million"
30,"In our unallocated items, we expect to resolve certain conditions related to a prior year's property sale in the fourth quarter, which will allow us to recognize a previously deferred $200 million gain"
31,And we're recognizing a $20 million improvement in other expenses for the favorable contract resolutions I mentioned earlier
32,"Our operating profit outlook increased by $240 million, reflecting both the increase in segment operating profit and the improvement in unallocated items"
