,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Mitch,Mitch,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Overall,overall,RB,Xxxxx
6,",",",",",",","
7,our,-PRON-,PRP$,xxx
8,business,business,NN,xxxx
9,continues,continue,VBZ,xxxx
10,to,to,TO,xx
11,deliver,deliver,VB,xxxx
12,growth,growth,NN,xxxx
13,and,and,CC,xxx
14,margin,margin,NN,xxxx
15,expansion,expansion,NN,xxxx
16,in,in,IN,xx
17,a,a,DT,x
18,challenging,challenging,JJ,xxxx
19,environment,environment,NN,xxxx
20,"
","
",_SP,"
"
21,In,in,IN,Xx
22,our,-PRON-,PRP$,xxx
23,Buy,Buy,NNP,Xxx
24,segment,segment,NN,xxxx
25,",",",",",",","
26,revenue,revenue,NN,xxxx
27,remains,remain,VBZ,xxxx
28,weak,weak,JJ,xxxx
29,as,as,IN,xx
30,a,a,DT,x
31,result,result,NN,xxxx
32,of,of,IN,xx
33,challenging,challenge,VBG,xxxx
34,fast,fast,RB,xxxx
35,-,-,HYPH,-
36,moving,move,VBG,xxxx
37,consumer,consumer,NN,xxxx
38,goods,good,NNS,xxxx
39,environment,environment,NN,xxxx
40,in,in,IN,xx
41,the,the,DT,xxx
42,U.S,U.S,NNP,X.X
43,"
","
",_SP,"
"
44,However,however,RB,Xxxxx
45,",",",",",",","
46,we,-PRON-,PRP,xx
47,continue,continue,VBP,xxxx
48,to,to,TO,xx
49,drive,drive,VB,xxxx
50,growth,growth,NN,xxxx
51,across,across,IN,xxxx
52,the,the,DT,xxx
53,rest,rest,NN,xxxx
54,of,of,IN,xx
55,the,the,DT,xxx
56,business,business,NN,xxxx
57,in,in,IN,xx
58,both,both,CC,xxxx
59,Watch,Watch,NNP,Xxxxx
60,and,and,CC,xxx
61,Buy,buy,VB,Xxx
62,while,while,IN,xxxx
63,also,also,RB,xxxx
64,delivering,deliver,VBG,xxxx
65,margin,margin,NN,xxxx
66,expansion,expansion,NN,xxxx
67,"
","
",_SP,"
"
68,This,this,DT,Xxxx
69,is,be,VBZ,xx
70,indicative,indicative,JJ,xxxx
71,of,of,IN,xx
72,the,the,DT,xxx
73,strength,strength,NN,xxxx
74,of,of,IN,xx
75,the,the,DT,xxx
76,portfolio,portfolio,NN,xxxx
77,and,and,CC,xxx
78,the,the,DT,xxx
79,resiliency,resiliency,NN,xxxx
80,of,of,IN,xx
81,this,this,DT,xxxx
82,business,business,NN,xxxx
83,"
","
",_SP,"
"
84,Let,let,VB,Xxx
85,me,-PRON-,PRP,xx
86,give,give,VB,xxxx
87,a,a,DT,x
88,few,few,JJ,xxx
89,more,more,JJR,xxxx
90,details,detail,NNS,xxxx
91,on,on,IN,xx
92,our,-PRON-,PRP$,xxx
93,total,total,JJ,xxxx
94,company,company,NN,xxxx
95,performance,performance,NN,xxxx
96,in,in,IN,xx
97,the,the,DT,xxx
98,second,second,JJ,xxxx
99,quarter,quarter,NN,xxxx
100,"
","
",_SP,"
"
101,On,on,IN,Xx
102,the,the,DT,xxx
103,left,left,JJ,xxxx
104,side,side,NN,xxxx
105,of,of,IN,xx
106,the,the,DT,xxx
107,page,page,NN,xxxx
108,are,be,VBP,xxx
109,our,-PRON-,PRP$,xxx
110,results,result,NNS,xxxx
111,on,on,IN,xx
112,a,a,DT,x
113,U.S,U.S,NNP,X.X
114,"
","
",_SP,"
"
115,GAAP,GAAP,NNP,XXXX
116,basis,basis,NN,xxxx
117,"
","
",_SP,"
"
118,Revenue,revenue,NN,Xxxxx
119,was,be,VBD,xxx
120,just,just,RB,xxxx
121,over,over,IN,xxxx
122,$,$,$,$
123,1.64,1.64,CD,d.dd
124,billion,billion,CD,xxxx
125,",",",",",",","
126,up,up,RB,xx
127,3,3,CD,d
128,%,%,NN,%
129,on,on,IN,xx
130,a,a,DT,x
131,reported,reported,JJ,xxxx
132,basis,basis,NN,xxxx
133,",",",",",",","
134,driven,drive,VBN,xxxx
135,by,by,IN,xx
136,solid,solid,JJ,xxxx
137,growth,growth,NN,xxxx
