,Sentences
0,"Good morning, everyone, and thank you for joining us on the call today"
1,We are pleased to have you with us to review our first quarter results
2,"As today's release detailed, we had a solid quarter operationally and financially with strong top-line growth and outstanding cash generation"
3,"I would like to take this opportunity to thank our team for their continuing efforts, as we focus the corporation on growth, successfully delivering solutions to customers and value to stockholders"
4,"While Bruce will cover the financial results in detail a little later, I wanted to touch on several highlights for this quarter"
5,"First, our operating profit and earnings per share were negatively impacted by two earnings adjustments that I will comment on in a minute"
6,"Our EPS of $2.61 equaled that of last year; however, our EPS would have been $3 per share without these adjustments"
7,"Second, our cash from operations was strong in the quarter and we increased our outlook for the year"
8,"And lastly, we returned over $1 billion to stockholders in the form of dividends and stock repurchases"
9,"I'd like to take a moment to comment on the two earnings adjustments that occurred this quarter, which caused an unanticipated negative impact to operating profit and EPS"
10,The first was a charge associated with an international C4I contract to produce the world's first end-to-end integrated air and missile defense system
11,Our solution to date has proven to be less mature than needed for this highly complex effort
12,and we are working with the customer to fulfill their requirements
13,"We do believe, however, that once completed, this system has the potential to bring these uniquely integrated capabilities to other customers around the world"
14,The second item is a non-cash impairment charge related to an international joint venture in which we participate
15,"During the first quarter, the venture in which we own a minority interest, determined that reduced business prospects required it to impair certain assets"
16,"As a consequence, we recorded our proportionate share and this resulted in the other charge you saw in our earnings release today"
17,"Finally, I am pleased to report that during the first quarter, we were able to arrive at an overall economic agreement for F-35 LRIPs 9 through 11, that allowed us to accept the unilateral pricing for LRIP 9, complete negotiations for LRIP 10 and establish cash payment terms for all three lots that were improvements over previous positions"
18,It was the overall bundling of economic considerations and resulting improved cash terms that enabled us to increase our cash outlook for the year that you saw in our earnings release
19,"We will continue our strong emphasis on growth, cash generation and shareholder-friendly actions as our business areas continue to provide products and services that are in great demand by our customers"
20,"Before discussing operational highlights from our business areas this quarter, I'd like to outline the status of DOD budgets"
21,"At this time, government spending remains limited by the continuing resolution that is set to expire on April 28."
22,"As you know, the continuing resolution, or CR, limits funding to prior year's levels and prohibits new programs from starting"
23,Discussions are underway to extend the CR as Congress continues to debate the regular appropriations bills
24,We are hopeful that these discussions result in an approved FY 2017 Defense Appropriations Act as we feel a further lack of budget clarity could have longer-term consequences for our armed forces and our industry
25,And we continue to urge our country's leadership to reach an agreement
26,"There are however, several encouraging indications that our nation's leaders are aligned with the need for a focus on defense spending"
27,"First, the House recently passed the FY 2017 appropriations bill, and it is currently residing with the Senate"
28,"This bill, which is in compliance with the Bipartisan Budget Act of 2015, also supports vital equipment procurement, with increased spending called out for BLACK HAWK helicopters, as well as additional F-35s"
29,"Similarly, we are pleased to see President Trump's 2017 supplemental defense appropriations submission and the administration's initial FY 2018 budget outline, or skinny budget; both request funds in excess of the Budget Control Act caps"
30,"Last month, I attended the Munich Security Conference, where well-respected leaders from the U.S"
31,and participating countries echoed the theme that the international security environment has become increasingly more volatile
32,Recent events around the world have only served to confirm this sentiment
33,"We, as a nation, need to recognize these threats and provide our military leaders relief from current budgetary constraints and allow them to address the challenges they face in defense of our country and our citizens"
34,"We remain hopeful that progress will continue to be made in this area, and upcoming legislation will include the increases necessary to continue to equip and maintain our fighting forces"
35,"Moving to operations, the quarter contained multiple mission success events, and I'd like to feature one each from our Aeronautics, Missiles and Fire Control, and Rotary and Mission Systems business areas"
36,"As some of you may know, this past February, the U.S"
37,"Air Force held their premier air combat exercise, Red Flag, at Nellis Air Force Base outside Las Vegas, Nevada"
38,"This year's training event featured, for the first time, the F-35A conventional takeoff and landing, or CTOL, variant, which was placed into service following its successful initial operating capability declaration in August of 2016."
39,"After flying over 207 sorties, the fleet of 13 F-35A jets posted an impressive success rate of 20 to 1 against the highest level threats known in the simulated contested environment"
40,"Just as importantly, the aircraft's stealth capability and electronic warfare suite allowed it to eliminate ground-based surface-to-air missile installations, effectively securing the battle space and providing unparalleled situational awareness"
41,"In addition, the F-35 flew alongside the F-22 Raptor and joint and coalition forces, including participants from the Royal Australian Air Force and the United Kingdom's RAF, demonstrating the important interoperability this generation platform provides"
42,"Lastly, and just as significantly, the CTOL jet excelled in the maintenance aspect of the exercise"
43,"The F-35 and its Autonomic Logistics Information System, or ALIS, proved to be a highly reliable weapon system, achieving a mission capable rate well above 90%, and far surpassing legacy aircraft averages of 70% to 85% availability during the high ops tempo environment of Red Flag, a design quality that has been recognized by users as a true differentiator of this product"
44,"We believe the success of this event continues to highlight the unprecedented abilities of the F-35, and we are proud to produce the most capable and reliable aircraft in the world"
45,"Turning to our Missiles and Fire Control business area, I'd like to highlight a noteworthy milestone that occurred this quarter"
46,"Last month, we were honored to have our long range anti-ship missile, or LRASM, selected as the Aviation Week Laureate Award winner in the Defense category for its technical achievements in meeting an urgent operational need of our warfighters"
47,"LRASM is a precision-guided, anti-ship standoff missile based on the Extended Range version of our Joint Air-to-Surface Standoff Missile, or JASSM-ER variant"
48,LRASM is currently being developed and integrated for operational capability on Navy and Air Force platforms
49,"Also, in collaboration with our Rotary and Mission Systems business area and their vertical launch system technology, our Missiles and Fire Control team initiated development with our own investment funding of an innovative surface launch solution that can be deployed from ships at sea, providing the U.S"
50,Navy with new anti-surface warfare capability as part of their distributed lethality concept
51,We were pleased with this award recognition and with our ability to continue to bring our company's capabilities and collaboration to bear for our customers and warfighters
52,"Finally, just a few weeks ago, in our Rotary and Mission Systems business area, our Sikorsky CH-53K King Stallion heavy lift helicopter, received an affirmative Milestone C decision from the Defense Acquisition Board and will now enter the low rate initial production phase of the program"
53,"This Milestone C decision comes less than 18 months after the CH-53K made its first flight, a remarkable accomplishment for this aircraft, with its unmatched payload capability and modern avionics"
54,"I'll now turn the call over to Bruce to review our first quarter financial performance in more detail, and then we'll open up the line for your questions"
55,Good morning
56,"So, Doug, just on a continuing resolution, we wouldn't expect any impact on F-35."
57,"That, as you know, is a long-cycled business"
58,The contracts that we're performing on were some time ago
