,Sentences
0,"Thanks, Kris"
1,"Good afternoon, everyone, and thank you for joining us"
2,"We executed well in the third quarter of fiscal year 2017, again delivering solid results with revenue at the midpoint of our guidance range and both operating margin and earnings per share above our guidance"
3,Our innovation in emerging areas of the market is expanding and creating new growth opportunities for us
4,"In the quarter, we strengthened our industry-leading portfolio with the introduction of new all-flash arrays and hybrid cloud solutions, positioning us to address a growing set of customer use cases"
5,"With focus and disciplined execution, we are successfully innovating to meet the evolving needs of our growing customer base while at the same time streamlining our business"
6,"As we deliver on our commitment to return the company to revenue growth with improved profitability, cash flow and shareholder returns"
7,", we remain focused on three priorities"
8,"First, our Data Fabric platform and the strategic solutions that are built for the opportunities of a data-centric world"
9,"Second, lowering our cost structure and streamlining operations while maintaining our ability to innovate"
10,"And third, a robust capital allocation program, which includes the mix of share buybacks, dividends and investment for the long-term growth of the business"
11,I'll begin with an update on our first priority
12,Ron will update you on the other two
13,Our strategic solutions position us to lead in the new era of IT
14,"These flash-enabled, cloud-integrated offerings provide customers with the future proof solutions required for success in a data-centric world"
15,"In Q3, strategic solutions constituted 65% of net product revenue, up 22% year-over-year"
16,Net product revenue from our mature solutions declined 18% year-over-year
17,"As we've said in the past, the headwinds from mature solutions will lessen, allowing the growth of the strategic solutions to return the company to moderated revenue growth in fiscal year 2018."
18,Consistent with the plan we've laid out
19,"and as you saw in our Q3 results and Q4 guidance included in our press release, the momentum of our strategic solutions is already delivering top line growth"
20,"Customers are maximizing the value of their data by prioritizing investments to modernize the data centers, increase agility, and integrate cloud resources with on-premises environments"
21,"Clustered ONTAP allows customers to modernize their infrastructure by replacing stand-alone silos of storage and monolithic frame arrays with a scale-out, software-defined shared storage platform"
22,"Uniquely in the storage industry, Clustered ONTAP enables seamless enterprise data management across flash, disk and public and private cloud footprints for enterprise applications with the ability to consolidate multiple workloads into a single repository for improved efficiency"
23,Clustered ONTAP continues to perform very well
24,"We are gaining new customers, expanding our footprint with existing customers and successfully migrating our install base"
25,"In Q3, Clustered ONTAP was deployed on over 90% of FAS systems shipped"
26,"Unit shipments of Clustered ONTAP systems grew 24% year-over-year, and the install base of FAS systems continues to grow"
27,And Clustered ONTAP is now running on approximately 40% of systems in that large and growing install base
28,"Additionally, we reached an exciting milestone this quarter which underscores the momentum we've had with Clustered ONTAP"
29,Clustered ONTAP now manages over 50% of the FAS system capacity in our install base
30,Flash is the mainstream choice for new on-premises deployments as customers seek to lower total cost of ownership while gaining greater speed and responsiveness from key business applications
31,"NetApp leads the industry in the transition to flash with cloud-integrated solutions that provide unrivaled efficiency, speed, scale and data management"
32,"Per IDC's calendar Q4, all-flash array market data, we strengthened our number two position"
33,"And our growth in flash continues to outpace both the market and our competition, large and small"
34,"Although NAND supply is tight, we are confident in our ability to meet demand and we expect our share gains to continue"
