,Sentences
0,"Thanks, Brian"
1,2016 was a record year for Intel and 2017 is off to a strong start
2,We executed on several important milestones in the quarter
3,"We delivered on innovative product and technology roadmaps across the business, Fab 68 in Dalian continued its impressive ramp, and Intel's transformation continued with the planned acquisition of Mobileye for autonomous driving and the sale of the Intel Security Group"
4,"Revenue was $14.8 billion, up 7% year over year"
5,"Operating income was $3.9 billion, up 20% year over year, and earnings per share of $0.66 was up 22% year over year"
6,Our EPS performance was a result of strong top line growth and significant margin expansion
7,"First quarter operating margin was 27%, up 3 points year over year, and gross margin came in at 63% up 0.5 points year over year"
8,"Direct spending came in at $5.4 billion, flat year over year and down 2 points as a percent of revenue from 2016 as we continued to execute on our restructuring program"
9,Let me touch briefly on our segment performance
10,"The Client Computing Group had revenue of $8 billion, up 6% year over year"
11,We continue to see the worldwide PC supply chain operate at healthy levels
12,Client ASPs were up 7% year over year as our segmentation strategies are paying off and core mix continues to be strong
13,"This segment had yet another quarter of significant profit growth with operating profit growing over 60% from a year ago as the business continues to execute and benefit from continued improvements in 14-nanometer unit cost, richer product mix and lower spending, primarily from the Client business having a decreased share of technology development and SG&A allocations"
14,"The Data Center Group had revenue of $4.2 billion, up 6% year over year"
15,"The Data Center Group had operating profit of $1.5 billion, down 16% year over year"
16,"Operating margin percent was impacted by increased allocation of technology development and SG&A costs, higher product costs as we transition to 14-nanometer and the ramp of adjacency products"
17,"Our Internet of Things business achieved revenue of $721 million, growing 11% year over year driven by strength in the industrial and video segments and continued momentum in our automotive business"
18,"Operating profit for the business was $105 million, down 15% year over year from increased investments in autonomous driving and increased allocation of SG&A and technology development spending"
19,"Our Memory business had record revenue of $866 million, up 55% year over year with strong demand for data center SSD solutions and demand signals outpacing supply"
20,We continue to make outstanding progress ramping Fab 68 with yields and unit costs well ahead of expectations
21,"This segment had an operating loss of $129 million, largely driven by costs associated with 3D XPoint and startup costs for our memory capacity"
22,The Programmable Solutions Group had revenue of $425 million
23,"Operating profit was $92 million, flat year over year after adjusting for acquisition related impacts"
24,Our Intel Security Group business had revenue of $534 million and operating profit was $95 million
25,Consistent with our prior guidance
26,the Intel Security transaction closed at the beginning of the second quarter
27,Let me remind you of our capital allocation priorities and our progress
28,"First, invest in our business, second, strategic acquisitions and third, return cash to shareholders through dividends and buybacks"
29,In the quarter we generated $3.9 billion of cash from operations
30,"We repurchased $2 billion in capital assets, paid $1.2 billion in dividends, increased the dividend by 5% and repurchased about $1.2 billion of stock"
31,"In addition, we generated approximately $400 million from the sale of some of our interests in ASML, which generated $235 million of pre-tax gains"
32,"At quarter end, cash other long-term investments was $23.7 billion, up $600 million"
33,Total debt was $25.8 billion
34,Today we announced an increase in our share buyback authorization by $10 billion
35,"Currently, we have approximately $15 billion authorization"
36,We expect to continue to offset dilution from our stock-based programs and opportunistically reduce our outstanding share count over time
37,Now let me turn to guidance
38,"First, some context"
39,"First, while we see strong momentum and Client ASPs contributing to slightly higher expectations of revenue for the year, we continue to take a more cautious view of PC consumption versus third party analysts"
40,"We feel great about our annual cadence of product innovations with new product launches planned this year including Skylake for data center, eighth generation core, 64-tier 3D NAND SSDs and further extensions to our Optane product line"
41,"Second, we continued to see strong demand signals in our memory business through the year and our Fab 68 in Dalian ramping to be able to supply higher demand levels"
42,"Third, the Data Center business has solid momentum with the mid-summer launch of our next-generation Skylake processor"
43,"And forth, as I indicated earlier, we completed the sale of the Intel Security Group"
44,We expect to realize a pre-tax gain of approximately $375 million and a tax liability of approximately $850 million
45,This results in a GAAP tax rate of 39% and a non-GAAP tax rate of 21% in the second quarter
46,"And last, as Brian talked about earlier, we are committed to increasing efficiency as a company and we are making an important commitment to our owners today"
47,We expect to reduce our spending as a percent of revenue by 2 points from 2015 to 2017 and our plans are to continue to drive efficiencies in how we operate the business over time
48,We are establishing a spending target of approximately 30% of revenue which we expect to reach no later than 2020.
49,"As a result, we are raising our full-year revenue guidance by $500 million to approximately $60 billion and our EPS guidance by $0.05 to approximately $2.85 per share"
