,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Shanye,Shanye,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,afternoon,afternoon,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Our,-PRON-,PRP$,Xxx
11,fourth,fourth,JJ,xxxx
12,quarter,quarter,NN,xxxx
13,results,result,NNS,xxxx
14,accentuate,accentuate,VBP,xxxx
15,an,an,DT,xx
16,unprecedented,unprecedented,JJ,xxxx
17,year,year,NN,xxxx
18,for,for,IN,xxx
19,the,the,DT,xxx
20,company,company,NN,xxxx
21,"
","
",_SP,"
"
22,I,-PRON-,PRP,X
23,thank,thank,VBP,xxxx
24,the,the,DT,xxx
25,Micron,Micron,NNP,Xxxxx
26,global,global,JJ,xxxx
27,team,team,NN,xxxx
28,for,for,IN,xxx
29,maintaining,maintain,VBG,xxxx
30,intense,intense,JJ,xxxx
31,focus,focus,NN,xxxx
32,on,on,IN,xx
33,our,-PRON-,PRP$,xxx
34,key,key,JJ,xxx
35,priorities,priority,NNS,xxxx
36,and,and,CC,xxx
37,delivering,deliver,VBG,xxxx
38,outstanding,outstanding,JJ,xxxx
39,results,result,NNS,xxxx
40,"
","
",_SP,"
"
41,Our,-PRON-,PRP$,Xxx
42,fourth,fourth,JJ,xxxx
43,quarter,quarter,NN,xxxx
44,revenue,revenue,NN,xxxx
45,was,be,VBD,xxx
46,$,$,$,$
47,6.14,6.14,CD,d.dd
48,billion,billion,CD,xxxx
49,with,with,IN,xxxx
50,record,record,NN,xxxx
51,gross,gross,JJ,xxxx
52,margin,margin,NN,xxxx
53,",",",",",",","
54,operating,operate,VBG,xxxx
55,income,income,NN,xxxx
56,and,and,CC,xxx
57,free,free,JJ,xxxx
58,cash,cash,NN,xxxx
59,flow,flow,NN,xxxx
60,"
","
",_SP,"
"
61,Full,full,JJ,Xxxx
62,year,year,NN,xxxx
63,revenue,revenue,NN,xxxx
64,",",",",",",","
65,profitability,profitability,NN,xxxx
66,and,and,CC,xxx
67,free,free,JJ,xxxx
68,cash,cash,NN,xxxx
69,flow,flow,NN,xxxx
70,also,also,RB,xxxx
71,set,set,VBD,xxx
72,company,company,NN,xxxx
73,records,record,NNS,xxxx
74,"
","
",_SP,"
"
75,Our,-PRON-,PRP$,Xxx
76,results,result,NNS,xxxx
77,were,be,VBD,xxxx
78,driven,drive,VBN,xxxx
79,by,by,IN,xx
80,favorable,favorable,JJ,xxxx
81,industry,industry,NN,xxxx
82,fundamentals,fundamental,NNS,xxxx
83,and,and,CC,xxx
84,solid,solid,JJ,xxxx
85,execution,execution,NN,xxxx
86,in,in,IN,xx
87,deploying,deploy,VBG,xxxx
88,our,-PRON-,PRP$,xxx
89,next,next,JJ,xxxx
90,-,-,HYPH,-
91,generation,generation,NN,xxxx
92,",",",",",",","
93,lower,low,JJR,xxxx
94,cost,cost,NN,xxxx
95,technologies,technology,NNS,xxxx
96,and,and,CC,xxx
97,diversifying,diversify,VBG,xxxx
98,our,-PRON-,PRP$,xxx
99,product,product,NN,xxxx
100,portfolio,portfolio,NN,xxxx
101,toward,toward,IN,xxxx
102,a,a,DT,x
103,richer,rich,JJR,xxxx
104,mix,mix,NN,xxx
105,of,of,IN,xx
106,differentiated,differentiated,JJ,xxxx
107,",",",",",",","
108,high,high,JJ,xxxx
109,-,-,HYPH,-
110,value,value,NN,xxxx
111,solutions,solution,NNS,xxxx
112,"
","
",_SP,"
"
113,We,-PRON-,PRP,Xx
114,are,be,VBP,xxx
115,excited,excited,JJ,xxxx
116,about,about,IN,xxxx
117,future,future,JJ,xxxx
118,opportunities,opportunity,NNS,xxxx
119,as,as,IN,xx
120,customers,customer,NNS,xxxx
121,increasingly,increasingly,RB,xxxx
122,recognize,recognize,VBP,xxxx
123,the,the,DT,xxx
124,strategic,strategic,JJ,xxxx
125,value,value,NN,xxxx
126,of,of,IN,xx
127,our,-PRON-,PRP$,xxx
128,memory,memory,NN,xxxx
